,Date,PRICECATEGORY,Max of TOTALDEMAND,Time,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
41,2021-02-11,0,7153.92,17:00:00,17.2,32.8,0.0,8.0,5.5,N,46.0,12:20,24.3,58.0,6,NNE,9.0,1008.7,31.8,31,7.0,N,22,1004.5
42,2021-02-12,0,5460.87,07:00:00,17.4,23.3,4.6,12.2,5.6,SSW,28.0,4:17,17.5,67.0,7,WSW,11.0,1006.0,21.8,51,4.0,SW,9,1005.3
43,2021-02-13,0,4729.81,19:00:00,14.7,20.8,0.0,6.0,4.9,S,35.0,14:54,17.2,68.0,6,W,6.0,1012.8,20.3,58,7.0,S,15,1014.8
44,2021-02-14,0,4710.32,19:00:00,12.7,20.0,0.0,4.0,8.1,SSW,35.0,13:52,17.8,56.0,7,SE,9.0,1019.5,19.3,58,6.0,SSW,19,1019.3
45,2021-02-15,0,5719.51,18:00:00,14.4,24.6,0.0,5.6,9.2,SSE,22.0,7:37,17.0,73.0,7,SSE,9.0,1022.0,23.0,54,7.0,SSW,11,1019.6
46,2021-02-16,0,6816.18,17:30:00,15.9,31.3,0.0,6.2,8.3,N,33.0,9:27,20.2,67.0,7,NE,9.0,1021.6,30.2,32,5.0,ENE,7,1019.2
47,2021-02-17,0,7230.71,18:00:00,16.6,28.8,0.0,7.4,11.9,SSW,26.0,14:37,20.1,73.0,4,NE,7.0,1021.7,27.1,52,1.0,SW,7,1020.3
48,2021-02-18,1,7508.61,18:30:00,18.1,31.8,0.0,11.4,12.4,N,46.0,8:26,22.9,44.0,0,N,26.0,1022.6,30.0,32,1.0,NNE,9,1019.2
49,2021-02-19,2,7804.22,18:30:00,18.2,32.6,0.0,8.0,12.4,N,43.0,9:32,24.4,44.0,1,N,15.0,1017.3,31.2,33,3.0,N,22,1013.4
50,2021-02-20,0,5984.31,17:30:00,20.3,23.8,0.0,13.6,5.9,SSW,33.0,16:51,22.2,77.0,7, ,0.0,1013.2,22.0,76,4.0,SSW,11,1011.4
